"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LYVE1",2237.84479093741,4.33022053280766,0.187354595688394,475.139199806265,6.6808803530811e-104,3.00018963433818e-103
"GRHL1",971.022312455721,-5.01181197783261,0.13694620106067,1310.1860050155,3.13851260668302e-285,1.27951108829683e-283
"HOOK1",1081.06225375888,-4.99855019682148,0.157076851655244,865.982484751607,9.00104066477742e-189,1.23433723807257e-187
"DSC2",7024.17541927934,-5.42684195227246,0.142921644962397,2331.77456640447,0,0
"IL1RN",5096.15904626668,-5.27557673323998,0.191214081593518,1102.19499289792,4.58562251974331e-240,1.14937779268011e-238
"TFAP2A",1096.14806426814,-4.05912931671902,0.186578647205597,689.765374597537,1.65711253382962e-150,1.39570741414959e-149
"TRIM29",10703.7248287902,-7.15762950555523,0.203325162327067,1282.71894115112,2.89148545915996e-279,1.08711821360361e-277
"CNKSR1",563.307340232717,-4.16305502343618,0.117980702521391,1837.45975532606,0,0
"DPT",1561.5244958787,5.45744544138713,0.213420356346588,689.076139613016,2.33893136304404e-150,1.96630037259634e-149
"CGN",1714.29526543073,-5.26493892488533,0.162046870920078,985.652750748433,9.29447018457507e-215,1.73998138240973e-213
"S100A8",17194.1530406795,-6.89392934660252,0.210635588016538,1245.4030321968,3.66579087374799e-271,1.26896366946749e-269
"ACTA1",1840.50574930755,7.72972660783194,0.234609696728208,754.246974094992,1.64949338855509e-164,1.67109977650397e-163
"MAP3K21",946.258702336664,-4.29707498177051,0.108771975739394,1380.79252834039,1.46120834651393e-300,7.19180180729676e-299
"MALL",336.903096511176,-4.20808074094748,0.128893094922469,1512.60662025932,0,0
"DDIT4L",478.140059800119,4.67265519061971,0.196814108159351,383.011129377728,6.76378823329363e-84,2.27391638692571e-83
"C1QTNF2",495.398963364499,4.3688459806402,0.13575362226523,825.647833272175,5.16239233487955e-180,6.35208911387225e-179
"PRSS35",271.356985880777,4.76672298650598,0.176530810381186,614.343325048891,3.954048286576e-134,2.68395404006049e-133
"EPHA1",714.541184325176,-4.43970524539755,0.100526933449491,3132.55854337968,0,0
"NCAM1",8281.86007566286,4.47010842622664,0.16486677349516,777.315569413811,1.61461414574902e-169,1.73580639100182e-168
"ST14",5287.05992872044,-4.50789025496314,0.138858968488295,1704.53218631309,0,0
"AKR1C2",4658.4628216956,-4.83811988575433,0.200797762941531,529.765078294135,9.18279514434536e-116,4.85314846851677e-115
"TMEM45B",1583.59949367742,-7.08316220616536,0.161901829389344,1336.0120840937,7.73859397728341e-291,3.30415992058458e-289
"MARVELD2",591.981923674934,-5.10672080977446,0.138488991534133,1377.20715381711,8.77538804175411e-300,4.27247759514899e-298
"C16orf89",465.195559780499,4.58089627535448,0.216919390737068,376.802162954806,1.50816872225092e-82,4.97879601357712e-82
"PROM2",2912.04785782421,-6.84481680476165,0.116852256079899,4000.22451461105,0,0
"RAB11FIP1",3137.66245210053,-5.0948520373562,0.116298092289189,2361.8342107505,0,0
"KRTCAP3",427.897682671012,-4.62630949457368,0.116150793252442,1861.19041980739,0,0
"ACTC1",1801.11024921962,4.56576762399913,0.254649226083152,373.701888077108,7.10666863043809e-82,2.32508484198645e-81
"TFF3",775.675100538098,-4.1171948223856,0.225360786281717,388.676211136077,3.98137539589123e-85,1.36390574496046e-84
"PTH1R",460.096598897985,4.74258019027682,0.165412995949903,587.980924581358,2.09683614816225e-128,1.3237256187209e-127
"AKR7A3",337.233184981848,-4.3458432667886,0.158687041287608,1068.06808208183,1.18021961280121e-232,2.68927145778862e-231
"SGPP2",3798.7477413645,-5.70386117167182,0.144282730809688,1213.78965076361,2.68488841550338e-264,8.59100820421709e-263
"BNIPL",207.310698046261,-4.13460431238127,0.139892811985646,1075.49847233751,2.8739160924808e-234,6.64930842935516e-233
"S100A9",25281.9540293149,-5.04744545041467,0.203540686281677,998.451600037419,1.54521824766589e-217,2.9835276722051e-216
"PTX3",2219.54073526974,5.41930995841081,0.211213997519404,715.651351826986,3.96536772516939e-156,3.60451659907103e-155
"CLEC3B",1328.36800202056,5.62126485861919,0.181836937690725,592.909124440435,1.7841012303438e-129,1.14120085787823e-128
"MST1R",1151.16096814359,-4.36579138510713,0.14950415452586,1457.25227982873,3.64492038969486e-317,2.11733894755272e-315
"HAND2",9471.10281390139,4.55937191958056,0.210273284144854,1009.71460192223,5.53681539802817e-220,1.10532148100754e-218
"BMPER",634.504434076724,4.0938150356512,0.161723491297736,543.838903889957,8.07016655870049e-119,4.45108819771846e-118
"FABP5",5080.52332770952,-4.96954444267327,0.140354720501856,1709.32747948586,0,0
"VEGFD",671.990486883619,5.66594979627256,0.209189816138679,646.761760262011,3.6096758683566e-141,2.70226564591851e-140
"AQP3",3774.80239460394,-4.32235281996799,0.183906704570464,738.858299049649,3.62208724690196e-161,3.51181596610445e-160
"FOLR2",3176.81644102297,4.63577350602801,0.149478280225248,810.756797563585,8.83890215347354e-177,1.04850605299969e-175
"SPINT1",4537.66169208864,-4.84277014828754,0.152250224218795,1600.25795989155,0,0
"TMEM100",856.038947622984,5.11986416085203,0.165386519739474,628.299590420602,3.68533905122879e-137,2.61020743371961e-136
"CYP2S1",2834.04833215559,-5.65174525095727,0.141486466623918,2177.00754935253,0,0
"TMC4",1028.34714749052,-4.06079260205276,0.128030554813401,1407.14279083434,2.77220501827194e-306,1.44871795066837e-304
"SPINT2",2462.37316043227,-4.06638819525832,0.128001400207213,934.351709766597,1.28263812810915e-203,2.0966795970963e-202
"MYO7B",1062.906964512,-4.44797193080018,0.180220448309664,747.22072731359,5.53452918565883e-163,5.49590124507041e-162
"KRT8",16781.5305172258,-4.80050704446163,0.209275371597982,970.078516490756,2.23937403099742e-211,4.01988428508622e-210
"CEL",339.77523509304,-4.71985417922509,0.160385346954318,1052.94314600818,2.27143840986472e-229,4.93481843940915e-228
"CDC42BPG",1141.58523253719,-4.24479291260832,0.143985247439852,1318.49350040089,4.92917429806229e-287,2.04025608942731e-285
"LRG1",420.096465715923,-4.15478730466822,0.152469204834048,1205.70222945817,1.53139584326574e-262,4.75400062811968e-261
"KRT19",19713.0101526462,-6.27855447526522,0.218817113752807,648.375269113423,1.61101361502773e-141,1.2107201154581e-140
"GAP43",822.103266556496,4.53416767598104,0.22060900542795,281.93228209325,6.0142684375091e-62,1.46145643270531e-61
"SULT1B1",579.465857293833,-4.25562900603778,0.195573923321836,690.623406723712,1.07902794751384e-150,9.13932620125147e-150
"JUP",45944.2151638651,-4.86907084507652,0.106390368919877,2665.37216376416,0,0
"ABO",694.898616347822,-4.08630398938984,0.159566532844874,674.72782850309,3.05290751023811e-147,2.45666487223977e-146
"FUT2",753.755552908747,-5.261799567868,0.129890805103249,1710.98038947301,0,0
"MUC20",819.641904938502,-4.08751635065171,0.153649758466525,736.835836820384,9.95705715775693e-161,9.53777555769569e-160
"FAM83H",6701.2400964116,-5.89338355660054,0.145817425362865,2110.45105872282,0,0
"CLDN7",1421.32012459357,-5.19925246326114,0.150418467827126,1673.7511580586,0,0
"TCEAL7",2064.43962911057,4.41385532509863,0.142130838293888,1329.28296983337,2.23805449306621e-289,9.46627111364097e-288
"TACSTD2",7495.34478372044,-5.70909841231082,0.168866132574163,1728.27984250302,0,0
"GALNT17",1506.69819463155,4.50724428245714,0.200496237089029,447.901756731379,5.48743398207305e-98,2.26786012053004e-97
"BCL2L15",338.051392957155,-5.38519135186557,0.160442790886327,1383.17721344013,4.43490533762012e-301,2.20685454943707e-299
"CLDN4",5068.14246112664,-5.64196506102805,0.167498836114041,1675.34610001091,0,0
"FAM180A",572.297420981507,4.11326374543596,0.171646606533099,875.335821707709,8.37994966579907e-191,1.1765831818111e-189
"S100A2",10791.7711265333,-5.67077922672564,0.197551238807033,1413.63536139188,1.07890091669617e-307,5.7042671513604e-306
"CYSRT1",349.440953263989,-4.34523410339083,0.154050213219958,858.980196477796,2.98414761809364e-187,3.99905326840569e-186
"MFAP5",6180.65714980356,4.18126197605916,0.225614856302485,659.26232276074,6.96635415228326e-144,5.39414207386464e-143
"F5",937.891310430017,-4.01557036571658,0.22287413277209,445.668319531715,1.67630883564903e-97,6.87124169912465e-97
"SLC44A4",2800.8331609946,-5.36411964001976,0.200280804919018,949.00615073337,8.43204124340163e-207,1.4337648018774e-205
"CPEB1",720.576041498526,4.07128131654341,0.131902466994711,1309.33570013725,4.80137067613068e-285,1.94570515273739e-283
"EBF2",897.141325934581,4.76428000209561,0.167847195833781,619.014817532345,3.82507772764048e-135,2.6307127562812e-134
"TINCR",481.738785949928,-4.29758515200711,0.173915393622039,535.370066910218,5.57015245997726e-117,3.00486303490603e-116
"TMEM238",467.78707445111,-5.46218914450412,0.116611404116001,2263.67153324108,0,0
"GPIHBP1",574.119061488875,5.25986068786482,0.163534530347064,670.357752828932,2.71433547452939e-146,2.16363549162281e-145
