"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NEB",6187.66798659336,-1.99352883352782,0.489930180547301,39.2770125146835,1.51627254774534e-08,1.62789353452936e-06
"GALNT17",174.248488355009,-1.96802745020766,0.337325240867902,45.5408641677586,7.10081384940025e-10,1.25450707463392e-07
"SV2B",165.572932797648,-2.01276110755545,0.403035214172811,36.9974518775862,4.60709525189325e-08,4.04410241702352e-06
"SRL",523.617994333272,-2.13303419358752,0.454757267687151,33.1764143469954,2.95618844547446e-07,1.92801505296669e-05
"MAPT",225.4643486691,-1.67734777094061,0.327589840429813,47.5516100274808,2.65266734915193e-10,5.28903974173051e-08
"EMID1",293.013208945064,-1.50593007218437,0.321101034088256,31.7335954592872,5.955627819035e-07,3.47793713264734e-05
"DNER",215.665685170663,1.50356567207735,0.352561258012087,19.4622637857319,0.000219363493232968,0.00423465598209202
"PLA2G2A",468.607683440087,-1.82997631554928,0.474671692094649,39.6187565829769,1.28339655571968e-08,1.43298925825437e-06
"RYR1",3305.43145969891,-1.5747566701515,0.289032115998341,53.7929566839848,1.24213882097157e-11,3.94012080097732e-09
"ATP2A1",580.668041636051,-2.23565353868228,0.428168916106048,53.5583950731834,1.39376366000185e-11,4.32283542281017e-09
"PLN",144.612230613157,-1.98543479681137,0.379317217627438,50.4746825745879,6.32995708625833e-11,1.52322777677427e-08
"CES1",3985.59048703376,2.00875064433459,0.559030064641553,12.8809540798047,0.00490125102650431,0.0386478873315936
"PSORS1C2",217.195067868928,1.80772397239722,0.428857859277812,18.1020094418718,0.000419047083905448,0.00676167652218882
"OR2I1P",1174.69148541768,-1.63055377284204,0.37080634015685,33.6976784134495,2.29477440078878e-07,1.53981568806774e-05
"TMEM178B",489.288750087936,-1.82620471447694,0.429041853289933,32.197742335713,4.75457290520919e-07,2.84012553540511e-05
"SPIB",459.914713656809,-4.46886831954836,0.482049697718044,133.564185115623,9.22373058132674e-29,6.43678038617887e-25
